Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
Lonely Bull,Old-fashioned glass,"['Dust', 'with', 'grated', 'nutmeg']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Patrón Reposado tequila', 'Bebo Coffee Liqueur', 'Single cream / half-and-half', 'Milk (whole milk/full 3-4% fat)']","['1 1⁄2 shot', '1 1⁄2 shot', '3⁄4 shot', '3⁄4 shot']",,,,,,,7,Creamy,https://www.diffordsguide.com/cocktails/recipe/1187/index.html
Long Island Lemonade,Collins glass,"['Lemon', 'wedge']",SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with lemonade. Serve with a stirrer.,"['Patrón Silver blanco tequila', 'Light white rum (charcoal-filtered 1-4 years old)', 'Rutte Dry Gin', 'Ketel One Vodka', 'De Kuyper Triple Sec (40%)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Lemonade']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄4 shot', '3 shot']",7,7,,,,,4,,https://www.diffordsguide.com/cocktails/recipe/1188/index.html
Long Flight of Stairs,Collins glass,"['Apple', 'or', 'pear', 'slice']",SHAKE all ingredients with ice and strain into ice-filled glass. Serve with straws.,"['Pear flavoured vodka', 'Calvados & straight applejacks', 'Pear & cognac liqueur', 'Apple juice (apple cider) unsweetened & cloudy']","['1 shot', '1 shot', '1 shot', '2 1⁄2 shot']",,,,248 calories,,16.13,2,,https://www.diffordsguide.com/cocktails/recipe/1189/index.html
Long Island Iced Tea Cocktail,Collins glass,"['Lemon', 'slice', 'or', 'wedge']",SHAKE first 8 ingredients with ice and strain into ice-filled glass. TOP with cola.,"['Light white rum (charcoal-filtered 1-4 years old)', 'Rutte Dry Gin', 'Ketel One Vodka', 'Patrón Silver blanco tequila', 'De Kuyper Triple Sec (40%)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Lemon juice (freshly squeezed)', 'Lime juice (freshly squeezed)', 'Cola (e.g. Coca Cola or Pepsi Cola)']","['5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '5⁄12 shot', '2 shot']",7,5,208 calories,,12.79,,105,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1190/index.html
Long Island Spiced Tea,Collins glass,"['Lime', 'wedge']","SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with cola, stir and serve with straws.","[""Chairman's Reserve Spiced Rum"", 'Rutte Dry Gin', 'Ketel One Vodka', 'Patrón Reposado tequila', 'De Kuyper Triple Sec (40%)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Cola (e.g. Coca Cola or Pepsi Cola)']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1 shot', '1⁄2 shot', 'Top up with']",6,4,,,,Cocktails & Mixed Drinks,8,,https://www.diffordsguide.com/cocktails/recipe/1191/index.html
Lotus Espresso,Martini glass,"['Coffee', 'beans']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Bebo Coffee Liqueur', 'Maple syrup', 'Espresso coffee (freshly made & hot)']","['2 shot', '1⁄2 shot', '1⁄2 shot', '1 shot']",7,7,,236 calories,,18.55,28,Aperitivo/aperitif,https://www.diffordsguide.com/cocktails/recipe/1192/index.html
Lotus Cocktail,Martini glass,"['Mint', 'leaf']","Lightly MUDDLE mint (just to bruise) in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","['Mint leaves', 'Rutte Dry Gin', 'De Kuyper Blue Curaçao', 'Lychee juice drink', 'Giffard Grenadine syrup']","['7 fresh', '2 shot', '1⁄4 shot', '1 shot', '1⁄4 shot']",3,8,,,,,5,,https://www.diffordsguide.com/cocktails/recipe/1193/index.html
Loud Speaker Cocktail,Coupe glass,"['Lemon', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Rémy Martin 1738 Cognac', 'De Kuyper Triple Sec (40%)', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['5⁄6 shot', '5⁄6 shot', '5⁄12 shot', '5⁄12 shot', '1⁄6 shot']",8,7,,158 calories,,25.96,5,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1194/index.html
Louisiana Trade,Old-fashioned glass,"['Lime', 'wedge']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"['Southern USA-style liqueur 40% (e.g. Southern Comfort)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Maple syrup']","['2 shot', '1 shot', '1⁄4 shot', '1⁄2 shot']",,,,235 calories,,17.2,10,,https://www.diffordsguide.com/cocktails/recipe/1195/index.html
Love Junk,Old-fashioned glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Ketel One Vodka', 'Green melon liqueur', 'Peachtree peach schnapps', 'Apple juice (apple cider) unsweetened & cloudy']","['2 shot', '1⁄2 shot', '1⁄2 shot', '1 1⁄2 shot']",,,,,Cocktails & Mixed Drinks,,7,,https://www.diffordsguide.com/cocktails/recipe/1196/index.html
Loved Up,Martini glass,"['Seasonal', 'berries']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Patrón Reposado tequila', 'De Kuyper Triple Sec (40%)', 'Giffard Framboise de Ronce (raspberry liqueur)', 'Lime juice (freshly squeezed)', 'Orange juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1 shot', '1⁄4 shot']",7,5,,216 calories,,16.89,10,Fruitini,https://www.diffordsguide.com/cocktails/recipe/1197/index.html
Lucky Lily Margarita,Coupe glass,"['Pineapple', 'wedge', 'dusted', 'with', 'pepper', 'on', 'rim']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Patrón Reposado tequila', 'Pineapple juice (fresh pressed)', 'Lime juice (freshly squeezed)', 'Honey syrup (3 honey to 1 water)', 'Black pepper']","['2 shot', '1 shot', '3⁄4 shot', '1⁄2 shot', '5 grind']",7,7,,,,,31,Sours (citrus),https://www.diffordsguide.com/cocktails/recipe/1198/index.html
Lucky Lindy,Collins glass,"['Lemon', 'slice']","STIR honey with bourbon and lemon juice in base of shaker so as to dissolve honey. Add ice, SHAKE and strain into ice-filled glass. TOP with lemonade, lightly stir and serve with straws.","['Honey', 'Bourbon whiskey', 'Lemon juice (freshly squeezed)', 'Lemon-lime soda (Sprite/7-Up)']","['3 spoon', '2 shot', '1⁄2 shot', 'Top up with']",,,,,,Cocktails & Mixed Drinks,10,,https://www.diffordsguide.com/cocktails/recipe/1199/index.html
Lush,Flute glass,['Raspberries'],"POUR vodka and liqueur into chilled glass, TOP with champagne and lightly stir.","['Ketel One Vodka', 'Giffard Framboise de Ronce (raspberry liqueur)', 'Brut champagne or sparkling wine']","['1 shot', '1⁄2 shot', '3 shot']",5,6,177 calories,,16.01,,4,Champagne,https://www.diffordsguide.com/cocktails/recipe/1200/index.html
Lutkins Special Martini,Martini glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'De Kuyper Apricot Brandy liqueur', 'Dry vermouth', 'Orange juice (freshly squeezed)']","['1 1⁄2 shot', '1⁄2 shot', '1 shot', '3⁄4 shot']",,,,162 calories,,19.68,3,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1201/index.html
Lux Daiquiri,Coupe glass,"['Skewered', 'Luxardo', 'Maraschino', 'cherry']",BLEND all ingredients with ½ scoop of crushed ice and serve in chilled glass.,"['Gold rum (1-3 years old mellow light)', 'Luxardo Maraschino liqueur', 'Lime juice (freshly squeezed)', 'Syrup from Luxardo Maraschino Cherries', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄6 shot', '1⁄6 shot']",8,6,194 calories,,21.02,,10,Frozen (blended),https://www.diffordsguide.com/cocktails/recipe/1202/index.html
Luxury Cocktail,Martini glass,['None'],SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Fruit cup liqueur', 'Giffard Banane du Brésil liqueur', 'Rosso/rouge (sweet) vermouth', 'Lime cordial (sweetened lime juice)', 'Angostura Aromatic Bitters']","['2 shot', '3⁄4 shot', '1⁄2 shot', '3⁄4 shot', '1⁄4 shot', '3 dash']",,,,,Cocktails & Mixed Drinks,,7,,https://www.diffordsguide.com/cocktails/recipe/1203/index.html
Luxury Mojito,Collins glass,"['Mint', 'sprig']","MUDDLE mint in glass with sugar and lime juice. Fill glass with crushed ice, add rum, Angostura and champagne, then stir.","['Mint leaves', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Lime juice (freshly squeezed)', 'Caribbean blended rum aged 6-10 years', 'Angostura Aromatic Bitters', 'Brut champagne or sparkling wine']","['12 fresh', '1⁄4 shot', '1 shot', '2 shot', '3 dash', 'Top up with']",,,,,Cocktails & Mixed Drinks,,2,Champagne,https://www.diffordsguide.com/cocktails/recipe/1204/index.html
Lychee & Blackcurrant Cocktail,Martini glass,['Lychee'],SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Kwai Feh lychee liqueur', 'Lime cordial (sweetened lime juice)', 'Joseph Cartron Double Crème de Cassis de Bourgogne', 'Chilled water (omit if using wet ice)']","['2 shot', '1⁄2 shot', '1⁄4 shot', '1⁄4 shot', '1⁄3 shot']",7,6,,,,24.38,5,Spirit-forward,https://www.diffordsguide.com/cocktails/recipe/1205/index.html
Lychee & Rose Petal Martini,Martini glass,"['Float', 'edible', 'rose', 'petal']",STIR all ingredients with ice and strain into chilled glass.,"['Rutte Dry Gin', 'Rose petal liqueur', 'Lychee juice drink', ""Peychaud's or other Creole-style bitters""]","['5⁄6 shot', '5⁄6 shot', '5⁄6 shot', '2 dash']",,,,127 calories,,23.25,4,Fruitini,https://www.diffordsguide.com/cocktails/recipe/1206/index.html
Lychee & Sake Martini,Martini glass,['Lychee'],STIR all ingredients with ice and strain into chilled glass.,"['Rutte Dry Gin', 'Kwai Feh lychee liqueur', 'Akashi-Tai Daiginjo Genshu sake']","['1 1⁄2 shot', '1⁄2 shot', '1 1⁄2 shot']",7,6,163 calories,,24.21,,6,Martini-style,https://www.diffordsguide.com/cocktails/recipe/1207/index.html
Lychee Mac,Old-fashioned glass,['Lychee'],SHAKE all ingredients with ice and strain into ice-filled glass.,"['Blended Scotch whisky', 'Kwai Feh lychee liqueur', 'Green ginger wine']","['2 1⁄4 shot', '1 shot', '3⁄4 shot']",,,,215 calories,,24.9,2,,https://www.diffordsguide.com/cocktails/recipe/1208/index.html
Lychee Martini,Martini glass,['Lychee'],STIR all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Kwai Feh lychee liqueur', 'Lychee juice drink', 'Bianco vermouth', 'Lychee syrup']","['1 1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄3 shot']",8,5,,148 calories,,19.7,8,Fruitini,https://www.diffordsguide.com/cocktails/recipe/1209/index.html
Lychee Rickey,Fizz or Highball (8oz to 10oz),"['Length', 'of', 'lime', 'peel']",SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda water.,"['Rutte Dry Gin', 'Kwai Feh lychee liqueur', 'Lime juice (freshly squeezed)', 'Thomas Henry Soda Water']","['2 shot', '1 shot', '1⁄2 shot', 'Top up with']",,,,,,Cocktails & Mixed Drinks,6,,https://www.diffordsguide.com/cocktails/recipe/1210/index.html
Lynchburg Lemonade,Collins glass,"['Lemon', 'slice']","POUR first 3 ingredients into glass, add a splash of soda, fill glass with ice and TOP with soda.","['Daddy Rack Tennessee Whiskey', 'De Kuyper Triple Sec (40%)', 'Lemon juice (freshly squeezed)', 'Lemon-lime soda (Sprite/7-Up)']","['1 1⁄3 shot', '5⁄6 shot', '5⁄6 shot', '1 2⁄3 shot']",5,5,149 calories,,16.88,,33,Contemporary classic,https://www.diffordsguide.com/cocktails/recipe/1211/index.html
M.G.F.,Coupe glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Oranje Vodka', 'Ketel One Citroen Vodka', 'Pink grapefruit juice (freshly squeezed)', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['5⁄6 shot', '5⁄6 shot', '5⁄6 shot', '5⁄6 shot', '5⁄12 shot']",6,7,,163 calories,,14.34,4,Sours (citrus),https://www.diffordsguide.com/cocktails/recipe/1212/index.html
Orange Mac,Old-fashioned glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Blended Scotch whisky', 'Green ginger wine', 'Orange juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Orange Bitters by Angostura']","['2 shot', '1 shot', '1 shot', '1⁄4 shot', '3 dash']",,,,,Cocktails & Mixed Drinks,,4,,https://www.diffordsguide.com/cocktails/recipe/1213/index.html
Macka,Collins glass,"['Lemon', 'slice']",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda.,"['Rutte Dry Gin', 'Dry vermouth', 'Rosso/rouge (sweet) vermouth', 'Joseph Cartron Double Crème de Cassis de Bourgogne', 'Thomas Henry Soda Water']","['1 2⁄3 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1 1⁄2 shot']",7,6,,,,,7,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/1214/index.html
Mad Monk Milkshake,Collins glass,"['Cord', 'around', 'glass']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Irish cream liqueur', 'Hazelnut liqueur', 'Bebo Coffee Liqueur', 'Milk (whole milk/full 3-4% fat)', 'Single cream / half-and-half']","['1 shot', '2 shot', '1⁄4 shot', '2 shot', '1 shot']",,,,,,,4,Creamy,https://www.diffordsguide.com/cocktails/recipe/1215/index.html
Madras,Collins glass,"['Orange', 'slice']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Ketel One Vodka', 'Cranberry juice (sweetened)', 'Orange juice (freshly squeezed)']","['2 shot', '3 shot', '2 shot']",,,,,,,12,,https://www.diffordsguide.com/cocktails/recipe/1216/index.html
Madroska,Collins glass,"['Orange', 'slice']",SHAKE all ingredients with ice and strain into ice filled glass.,"['Ketel One Vodka', 'Apple juice (apple cider) unsweetened & cloudy', 'Cranberry juice (sweetened)', 'Orange juice (freshly squeezed)']","['2 shot', '2 1⁄2 shot', '1 1⁄2 shot', '1 shot']",,,,189 calories,,9.22,4,,https://www.diffordsguide.com/cocktails/recipe/1217/index.html
Mae West cocktail,Martini glass,"['Melon', 'slice']",STIR all ingredients with ice and strain into chilled glass.,"['Ketel One Vodka', 'Disaronno amaretto', 'Green melon liqueur', 'Cranberry juice (sweetened)']","['2 shot', '1⁄2 shot', '1⁄4 shot', '1 1⁄2 shot']",,,,,Cocktails & Mixed Drinks,,18,,https://www.diffordsguide.com/cocktails/recipe/1218/index.html
Mai Tai (Trader Vic's) Cocktail,Double old-fashioned,"['Half', 'lime', 'shell,', 'mint', 'sprig', 'and', 'fruit', 'stick', '(skewered', 'pineapple', 'cubes', 'and', 'Luxardo', 'Maraschino', 'cherry)']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"['Caribbean blended rum aged 6-10 years', 'Orange Curaçao liqueur', 'Lime juice (freshly squeezed)', 'Giffard Orgeat Syrup', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1⁄2 shot', '3⁄4 shot', '1⁄3 shot', '1⁄4 shot']",,,,,,,158,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1219/index.html
Mai Tai (Beaumont-Gantt's recipe),Old-fashioned glass,"['Mint', 'sprig']","Lightly muddle mint in base of shaker (just to bruise). Add other ingredients, SHAKE with ice and strain glass filled with crushed ice.","['Mint leaves', 'Jamaican-style overproof aged pot still rum', 'Light white rum (charcoal-filtered 1-4 years old)', 'De Kuyper Triple Sec (40%)', ""Difford's Falernum liqueur"", 'Lime juice (freshly squeezed)', 'Pink grapefruit juice (freshly squeezed)', 'Angostura Aromatic Bitters']","['12 fresh', '1 1⁄2 shot', '1 shot', '3⁄4 shot', '1⁄2 shot', '1 shot', '1 shot', '2 dash']",,,,,,,12,Tiki/tropical,https://www.diffordsguide.com/cocktails/recipe/1220/index.html
Mai Tai (Difford's recipe),Old-fashioned glass,"['Half', 'lime', 'shell,', 'mint', 'sprig', 'and', 'fruit', 'stick', '(skewered', 'pineapple', 'cubes', 'and', 'Luxardo', 'Maraschino', 'cherry)']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"['Caribbean blended rum aged 6-10 years', 'Pineapple rum', 'Orange Curaçao liqueur', 'Lime juice (freshly squeezed)', 'Giffard Orgeat Syrup', 'Disaronno amaretto', ""Difford's Falernum liqueur"", 'Giffard Menthe Pastille white crème de menthe', 'La Fée Parisienne absinthe', 'Saline solution 4:1 (20g sea salt to 80g water)']","['1 shot', '1 shot', '1⁄2 shot', '3⁄4 shot', '1⁄4 shot', '1⁄4 shot', '1⁄4 shot', '1⁄12 shot', '2 dash', '2 drop']",,,,,22.57,,37,Tiki/tropical,https://www.diffordsguide.com/cocktails/recipe/1221/index.html
Maiden's Blush,Coupe glass,"['Lemon', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Orange Curaçao liqueur', 'Lemon juice (freshly squeezed)', 'Giffard Grenadine syrup', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 1⁄2 shot', '2⁄3 shot', '1⁄3 shot', '1⁄6 shot', '1⁄12 shot']",8,6,188 calories,,26.74,,23,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1222/index.html
Maiden's Prayer,Coupe glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'De Kuyper Triple Sec (40%)', 'Orange juice (freshly squeezed)', 'Lemon juice (freshly squeezed)']","['1 1⁄3 shot', '5⁄6 shot', '1 shot', '1⁄3 shot']",7,6,,,,,34,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1223/index.html
Mainbrace,Coupe glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'De Kuyper Triple Sec (40%)', 'Pink grapefruit juice (freshly squeezed)', 'Saline solution 4:1 (20g sea salt to 80g water)']","['1 shot', '1 shot', '1 shot', '2 drop']",7,8,,,,,21,Sours (citrus),https://www.diffordsguide.com/cocktails/recipe/1224/index.html
Major Bailey #1,Sling glass,"['Mint', 'sprig']","Lightly MUDDLE (only to bruise) mint with gin in base of shaker. Add other ingredients, SHAKE with ice and fine strain into glass half filled with crushed ice. CHURN (stir) drink with ice using a barspoon. Top the glass to the brim with more crushed ice and churn again. Serve with straws.","['Mint leaves', 'Rutte Dry Gin', 'Lime juice (freshly squeezed)', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['12 fresh', '2 shot', '1⁄4 shot', '1⁄4 shot', '1⁄2 shot']",,,,,,,10,,https://www.diffordsguide.com/cocktails/recipe/1225/index.html
Major Bailey #2,Sling glass,"['Mint', 'sprig']",BLEND all ingredients with 6oz scoop of crushed ice and serve with straws.,"['Light white rum (charcoal-filtered 1-4 years old)', 'De Kuyper Triple Sec (40%)', 'Pineapple juice (fresh pressed)', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1 shot', '1 shot', '1⁄2 shot', '1⁄4 shot']",,,,237 calories,,18.44,35,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/1226/index.html
Magic Bus,Coupe glass,"['Lime', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Patrón Reposado tequila', 'De Kuyper Triple Sec (40%)', 'Cranberry juice (sweetened)', 'Orange juice (freshly squeezed)']","['1 1⁄4 shot', '3⁄4 shot', '3⁄4 shot', '3⁄4 shot']",7,6,,,,,6,Fruity,https://www.diffordsguide.com/cocktails/recipe/1227/index.html
Malcolm Lowry,Old-fashioned glass,"['Lime', 'wedge']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Patrón Reposado tequila', 'White overproof rum', 'De Kuyper Triple Sec (40%)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '1⁄2 shot', '1⁄4 shot', '1⁄2 shot', '1⁄4 shot']",8,7,142 calories,,26.29,,7,Sours (citrus),https://www.diffordsguide.com/cocktails/recipe/1228/index.html
Mambo,Collins glass,"['Orange', 'slice']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Ketel One Vodka', 'De Kuyper Triple Sec (40%)', 'De Kuyper Apricot Brandy liqueur', 'Italian red bitter liqueur', 'Orange juice (freshly squeezed)']","['5⁄6 shot', '5⁄6 shot', '5⁄6 shot', '1⁄6 shot', '2 1⁄2 shot']",6,6,,178 calories,,14.18,4,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/1229/index.html
Man-Bour-Tini,Martini glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Mandarine Napoleon liqueur', 'Bourbon whiskey', 'Lime juice (freshly squeezed)', 'Cranberry juice (sweetened)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '5⁄6 shot', '1⁄3 shot', '1 1⁄2 shot', '1⁄6 shot']",6,6,195 calories,,15.11,,6,Sours (citrus),https://www.diffordsguide.com/cocktails/recipe/1230/index.html
Mandarine Collins,Collins glass,"['Orange', 'slice']",SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda.,"['Rutte Dry Gin', 'Mandarine Napoleon liqueur', 'Lemon juice (freshly squeezed)', 'Thomas Henry Soda Water']","['1 1⁄2 shot', '1 shot', '1 shot', 'Top up with']",,,,,,Cocktails & Mixed Drinks,3,,https://www.diffordsguide.com/cocktails/recipe/1231/index.html
Mandarine Sidecar,Martini glass,"['Sugar', 'rim', '(optional)', '&', 'lemon', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rémy Martin 1738 Cognac', 'Mandarine Napoleon liqueur', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Chilled water (omit if using wet ice)']","['1 1⁄2 shot', '1 shot', '1 shot', '1⁄6 shot', '3⁄4 shot']",,,,,Cocktails & Mixed Drinks,,7,,https://www.diffordsguide.com/cocktails/recipe/1232/index.html
Mandarine Songbird,Collins glass,"['Orange', 'slice']",SHAKE first 3 ingredients with ice and fine strain into ice-filled glass. TOP with ginger beer.,"['Mandarine Napoleon liqueur', 'Lemon juice (freshly squeezed)', 'Orange juice (freshly squeezed)', 'Thomas Henry Ginger Beer']","['2 shot', '1⁄2 shot', '3⁄4 shot', 'Top up with']",,,,,,,6,,https://www.diffordsguide.com/cocktails/recipe/1233/index.html
Mandarine Sour,Old-fashioned glass,"['Orange', 'slice']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Mandarine Napoleon liqueur', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Pasteurised egg white (or aquafaba)']","['2 shot', '1 shot', '1⁄4 shot', '1⁄2 shot']",,,,,Cocktails & Mixed Drinks,,3,,https://www.diffordsguide.com/cocktails/recipe/1234/index.html
Mandarintini,Martini glass,"['Orange', 'slice']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Oranje Vodka', 'Mandarine Napoleon liqueur', 'Italian red bitter liqueur', 'Apple juice (apple cider) unsweetened & cloudy']","['1 1⁄2 shot', '1⁄2 shot', '1⁄4 shot', '1 1⁄2 shot']",7,7,,168 calories,,18.39,5,Citrusy,https://www.diffordsguide.com/cocktails/recipe/1235/index.html
Mandarito,Old-fashioned glass,"['Mint', 'sprig']","Lightly MUDDLE mint (just to bruise) in base of glass. Add next four ingredients, half fill glass with crushed ice and CHURN (stir). Fill glass to brim with more crushed ice and churn some more. TOP with soda, stir and serve with straws.","['Mint leaves', 'Ketel One Vodka', 'Mandarine Napoleon liqueur', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Thomas Henry Soda Water']","['12 fresh', '1 shot', '1 1⁄2 shot', '1 shot', '1⁄6 shot', 'Top up with']",,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/1236/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/1237/index.html
Mango Collins,Collins glass,"['Lemon', 'slice']","SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda, stir and serve with straws.","['Rutte Dry Gin', 'Mango purée', 'Lemon juice (freshly squeezed)', 'Thomas Henry Soda Water']","['2 shot', '2 shot', '1 1⁄2 shot', 'Top up with']",,,,,Cocktails & Mixed Drinks,,5,Modern,https://www.diffordsguide.com/cocktails/recipe/1238/index.html
Mango Daiquiri,Coupe glass,"['Lime', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Light white rum (charcoal-filtered 1-4 years old)', 'Mango purée', 'Lime juice (freshly squeezed)']","['2 shot', '2 shot', '1⁄2 shot']",,,,,,,7,Modern,https://www.diffordsguide.com/cocktails/recipe/1239/index.html
Mango Margarita (served 'straight up'),Coupe glass,"['Lime', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Patrón Reposado tequila', 'De Kuyper Triple Sec (40%)', 'Mango purée', 'Lime juice (freshly squeezed)']","['1 1⁄2 shot', '2⁄3 shot', '2⁄3 shot', '2⁄3 shot']",,,,,,,9,Modern,https://www.diffordsguide.com/cocktails/recipe/1240/index.html
Mango Margarita (frozen),Coupe glass,"['Mango', 'slice']",BLEND all ingredients with 6oz scoop of crushed ice. Serve with straws.,"['Patrón Reposado tequila', 'Mango purée', 'De Kuyper Triple Sec (40%)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '3⁄4 shot', '1 shot', '1⁄2 shot', '1⁄4 shot']",,,,,,,8,Frozen (blended),https://www.diffordsguide.com/cocktails/recipe/1241/index.html
Mango Cocktail,Coupe glass,"['Mango', 'slice']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Citroen Vodka', 'Mango purée']","['2 shot', '1 2⁄3 shot']",,,,,,,1,Fruity,https://www.diffordsguide.com/cocktails/recipe/1242/index.html
Mango Punch,Collins glass,"['Mango', 'slice']",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice.,"['White overproof rum', 'Mango purée', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '3 shot', '3⁄4 shot', '3⁄4 shot']",,,,264 calories,,15.63,4,Modern,https://www.diffordsguide.com/cocktails/recipe/1243/index.html
